Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0005	s_1543  -> s_0001 + s_0794 + s_1538 	( PAPLA_06425 and PAPLA_01070 ) or PAPLA_06425	  0.00	1000.00	  0.00
r_0006	s_1543  -> s_0004 + s_0794 + s_1538 	PAPLA_02891 or PAPLA_03277 or PAPLA_03304 or PAPLA_02891 or PAPLA_03277 or PAPLA_03304	  0.00	1000.00	  0.00
r_0007	s_0077  -> s_0312 	PAPLA_04173	  0.00	1000.00	  0.00
r_0012	s_0119 + 2 s_0807 + s_1200  <=> s_0799 + s_0993 + s_1205 	PAPLA_02192	-1000.00	1000.00	  0.00
r_0013	s_0311 + 3 s_0803  -> s_0294 + s_0722 + 6 s_0794 + s_1322 	PAPLA_01940	  0.00	1000.00	  0.00
r_0014	s_0142 + s_0794 + s_0803  -> s_0313 + s_0419 	PAPLA_03317	  0.00	1000.00	  0.00
r_0015	s_0141 + s_0794 + s_1212  -> s_0142 + s_1207 	PAPLA_06121	  0.00	1000.00	  0.00
r_0016	s_0179 + s_0799 + s_1401  -> s_0039 + s_0460 	( PAPLA_03901 and PAPLA_04943 ) or PAPLA_04943	  0.00	1000.00	  0.00
r_0018	s_0176 + s_0991  <=> s_0180 + s_0953 	PAPLA_05277	-1000.00	1000.00	  0.00
r_0020	s_0552 + s_0807 + s_1361  -> s_0350 + s_1326 	PAPLA_03046 or PAPLA_07158 or PAPLA_03046 or PAPLA_07158	  0.00	1000.00	  0.00
r_0023	s_0165 + s_0803  <=> s_0162 	PAPLA_04974	-1000.00	1000.00	  0.00
r_0024	s_0232 + s_0373 + s_0803  -> s_0162 + s_0529 + s_0794 	PAPLA_02107	  0.00	1000.00	  0.00
r_0025	s_0233 + s_0376 + s_0807  -> s_0164 + s_0532 + s_0799 	PAPLA_02107	  0.00	1000.00	  0.00
r_0026	s_0294 + s_0991  -> s_0180 + s_1029 	PAPLA_01678 or PAPLA_03689 or PAPLA_01678 or PAPLA_03689	  0.00	1000.00	  0.00
r_0027	s_0834  <=> s_0454 + s_0807 	PAPLA_02498	-1000.00	1000.00	  0.00
r_0028	s_0807 + s_1273 + s_1382  -> s_0174 + s_0532 + s_0799 	PAPLA_05209 or PAPLA_05209	  0.00	1000.00	  0.00
r_0029	s_0010 + s_0794  -> s_0291 + s_0456 	PAPLA_01678 or PAPLA_03689 or PAPLA_01678 or PAPLA_03689	  0.00	1000.00	  0.00
r_0030	s_0011 + s_0799  -> s_0292 + s_0460 	PAPLA_01678 or PAPLA_03689 or PAPLA_01678 or PAPLA_03689	  0.00	1000.00	  0.00
r_0033	s_0192 + s_0803  -> s_0423 + s_0794 	PAPLA_04104	  0.00	1000.00	  0.00
r_0034	s_0194 + s_0803  -> s_0584 + s_0794 	PAPLA_04104	  0.00	1000.00	  0.00
r_0035	s_0196 + s_0803  -> s_0794 + s_0849 	PAPLA_04104	  0.00	1000.00	  0.00
r_0036	s_0195 + s_0803  -> s_0782 + s_0794 	PAPLA_04104	  0.00	1000.00	  0.00
r_0037	s_0193 + s_0803  -> s_0526 + s_0794 	PAPLA_04104	  0.00	1000.00	  0.00
r_0038	s_0577  -> s_0158 + s_0722 + s_0794 	PAPLA_05835	  0.00	1000.00	  0.00
r_0039	s_0210  -> s_0211 + s_0803 	PAPLA_04236	  0.00	1000.00	  0.00
r_0040	s_0349  -> s_0210 + s_1322 	PAPLA_04236	  0.00	1000.00	  0.00
r_0041	s_0231 + 2 s_0795 + s_1213  -> s_1208 + s_1445 	PAPLA_02318	  0.00	1000.00	  0.00
r_0042	s_0551 + s_0803 + s_1360  -> s_0349 + s_1322 	PAPLA_03046 or PAPLA_07158 or PAPLA_03046 or PAPLA_07158	  0.00	1000.00	  0.00
r_0043	s_0215 + 0.5 s_1275  -> s_0212 	PAPLA_05435	  0.00	1000.00	  0.00
r_0045	s_0222 + s_0803  -> s_0224 + s_0955 	PAPLA_03175	  0.00	1000.00	  0.00
